9r.mol2;6, 7, 8, 10, 11, 9
9u.mol2;6, 7, 8, 10, 11, 9
9z.mol2;7, 8, 12, 11, 10, 9
9e.mol2;6, 7, 8, 10, 11, 9
9k.mol2;6, 7, 8, 10, 11, 9
9h.mol2;6, 7, 8, 10, 11, 9
9a.mol2;6, 7, 8, 10, 11, 9
9g.mol2;6, 7, 8, 10, 11, 9
9q.mol2;6, 7, 8, 10, 11, 9
10c.mol2;6, 7, 8, 10, 11, 9
9aa.mol2;6, 7, 8, 10, 11, 9
8e.mol2;6, 7, 8, 10, 11, 9
9t.mol2;6, 7, 8, 10, 11, 9
8c.mol2;6, 7, 8, 10, 11, 9
9m.mol2;6, 7, 8, 10, 11, 9
9f.mol2;6, 7, 8, 10, 11, 9
9b.mol2;7, 8, 12, 11, 10, 9
8g.mol2;6, 7, 8, 10, 11, 9
8f.mol2;6, 7, 8, 10, 11, 9
9s.mol2;6, 7, 8, 10, 11, 9
8i.mol2;6, 7, 8, 10, 11, 9
10b.mol2;6, 7, 8, 10, 11, 9
8h.mol2;6, 7, 8, 10, 11, 9
9w.mol2;6, 7, 8, 10, 11, 9
8d.mol2;6, 7, 8, 10, 11, 9
9y.mol2;6, 7, 8, 10, 11, 9
10a.mol2;6, 7, 8, 10, 11, 9
9x.mol2;6, 7, 8, 10, 11, 9
9o.mol2;6, 7, 8, 10, 11, 9
9n.mol2;6, 7, 8, 10, 11, 9
8b.mol2;6, 7, 8, 10, 11, 9
9p.mol2;6, 7, 8, 10, 11, 9
9ab.mol2;6, 7, 8, 10, 11, 9
8a.mol2;7, 8, 9, 11, 12, 10
9l.mol2;6, 7, 8, 10, 11, 9
